len,time
5670,31657
5680,31457
5690,31342
5700,29944
5710,31743
5720,31682
5730,28508
5740,28068
5750,28184
5760,29615
5770,25935
5780,26045
5790,26682
5800,27619
5810,27441
5820,26136
5830,27187
5840,26681
5850,32328
5860,29264
5870,34724
5880,30017
5890,27576
5900,27045
5910,26714
5920,27630
5930,27890
5940,28211
5950,31103
5960,30564
5970,30044
5980,33902
5990,32300
6000,28703
6010,28774
6020,28003
6030,28022
6040,28778
6050,29267
6060,28602
6070,29230
6080,33164
6090,31957
6100,37247
6110,33791
6120,33575
6130,34830
6140,31856
6150,32413
6160,31498
6170,35333
6180,32004
6190,30881
6200,32124
6210,32999
6220,32340
6230,30756
6240,30525
6250,31756
6260,31494
6270,32492
6280,31097
6290,35227
6300,32477
6310,34781
6320,33801
6330,35069
6340,31253
6350,32132
6360,32603
6370,31632
6380,32908
6390,32527
6400,36456
6410,34449
6420,33936
6430,37697
6440,37477
6450,33332
6460,37553
6470,35867
6480,34240
6490,34667
6500,36086
6510,35461
6520,39144
6530,41716
6540,40674
6550,39213
6560,38712
6570,40004
6580,42117
6590,41939
6600,38460
6610,38497
6620,38901
6630,37453
6640,36174
6650,35176
6660,36178
6670,39078
6680,37665
6690,40051
6700,36253
6710,40990
6720,39426
6730,40878
6740,39860
6750,43740
6760,42601
6770,44688
6780,43235
6790,45199
6800,39254
6810,39982
6820,36778
6830,35981
6840,35820
6850,36583
6860,36841
6870,38771
6880,38213
6890,38952
6900,42205
6910,37254
6920,42437
6930,44921
6940,41083
6950,45961
6960,44955
6970,41630
6980,40966
6990,43730
7000,41813
7010,39196
7020,38984
7030,39619
7040,39904
7050,40611
7060,39724
7070,43319
7080,42751
7090,38413
7100,38362
7110,38917
7120,38668
7130,38965
7140,39678
7150,44006
7160,42290
7170,44833
7180,44325
7190,39730
7200,40003
7210,40374
7220,40768
7230,43165
7240,44340
7250,47052
7260,46305
7270,49723
7280,45531
7290,44988
7300,45642
7310,42783
7320,43616
7330,46748
7340,46298
7350,45529
7360,41926
7370,44112
7380,41687
7390,43852
7400,41198
7410,53464
7420,53015
7430,51844
7440,50984
7450,45202
7460,45629
7470,43916
7480,49834
7490,46428
7500,47301
7510,50318
7520,45162
7530,43567
7540,45008
7550,45595
7560,43459
7570,46191
