len,time
6420,1118
6430,1164
6440,1111
6450,1182
6460,1197
6470,1148
6480,1139
6490,1166
6500,1119
6510,1096
6520,1117
6530,1149
6540,1216
6550,1218
6560,1122
6570,1110
6580,1204
6590,1109
6600,1134
6610,1187
6620,1125
6630,1178
6640,1157
6650,1141
6660,1096
6670,1124
6680,1062
6690,1124
6700,1090
6710,1094
6720,1190
6730,1197
6740,1221
6750,1239
6760,1244
6770,1148
6780,1242
6790,1157
6800,1234
6810,1171
6820,1238
6830,1172
6840,1260
6850,1181
6860,1112
6870,1162
6880,1223
6890,1178
6900,1140
6910,1317
6920,1307
6930,1207
6940,1270
6950,1213
6960,1246
6970,1259
6980,1263
6990,1231
7000,1228
7010,1218
7020,1256
7030,1232
7040,1206
7050,1216
7060,1236
7070,1305
7080,1322
7090,1302
7100,1259
7110,1277
7120,1186
7130,1263
7140,1309
7150,1305
7160,1305
7170,1241
7180,1270
7190,1228
7200,1243
7210,1313
7220,1327
7230,1249
7240,1265
7250,1345
7260,1244
7270,1235
7280,1272
7290,1296
7300,1246
7310,1245
7320,1254
7330,1284
7340,1266
7350,1254
7360,1280
7370,1328
7380,1377
7390,1276
7400,1405
7410,1386
7420,1348
7430,1306
7440,1304
7450,1335
7460,1379
7470,1318
7480,1301
7490,1380
7500,1281
7510,1317
7520,1321
7530,1361
7540,1358
7550,1337
7560,1366
7570,1334
7580,1350
7590,1357
7600,1446
7610,1334
7620,1363
7630,1312
7640,1277
7650,1271
7660,1286
7670,1265
7680,1275
7690,1271
7700,1336
7710,1339
7720,1331
7730,1352
7740,1431
7750,1412
7760,1433
7770,1510
7780,1411
7790,1438
7800,1414
7810,1342
7820,1400
7830,1465
7840,1466
7850,1484
7860,1452
7870,1381
7880,1398
7890,1489
7900,1451
7910,1430
7920,1460
7930,1488
7940,1436
7950,1447
7960,1449
7970,1312
7980,1419
7990,1493
8000,1366
8010,1476
8020,1540
8030,1435
8040,1418
8050,1419
8060,1430
8070,1555
8080,1582
8090,1476
8100,1518
8110,1461
8120,1387
8130,1478
8140,1532
8150,1439
8160,1431
8170,1514
8180,1398
8190,1424
8200,1436
8210,1476
8220,1463
8230,1460
8240,1372
8250,1354
8260,1376
8270,1343
8280,1358
8290,1365
8300,1396
8310,1533
8320,1604
8330,1469
8340,1433
8350,1501
8360,1524
8370,1505
8380,1566
8390,1514
8400,1563
8410,1536
8420,1469
8430,1520
8440,1519
8450,1522
8460,1583
8470,1512
8480,1529
8490,1496
8500,1483
8510,1526
8520,1480
8530,1469
8540,1529
8550,1539
8560,1445
8570,1440
8580,1439
8590,1456
8600,1462
8610,1609
8620,1485
