len,time
6070,1974
6080,1920
6090,1917
6100,1905
6110,1908
6120,1845
6130,1934
6140,1874
6150,1823
6160,1862
6170,1838
6180,1903
6190,1896
6200,1898
6210,2058
6220,1957
6230,1925
6240,2002
6250,1974
6260,2023
6270,1962
6280,2069
6290,2036
6300,1974
6310,1911
6320,1969
6330,2033
6340,2052
6350,2128
6360,2093
6370,2106
6380,1994
6390,2041
6400,1967
6410,1996
6420,1995
6430,1952
6440,1966
6450,1962
6460,2078
6470,2077
6480,2002
6490,2061
6500,2000
6510,2042
6520,2073
6530,2063
6540,2013
6550,2071
6560,2001
6570,2001
6580,1930
6590,2027
6600,2074
6610,1948
6620,2014
6630,2137
6640,2097
6650,2116
6660,2142
6670,2102
6680,2075
6690,2153
6700,2093
6710,2097
6720,2075
6730,2073
6740,2118
6750,2095
6760,2028
6770,2015
6780,2048
6790,2223
6800,2197
6810,2187
6820,2204
6830,2205
6840,2195
6850,2124
6860,2173
6870,2148
6880,2167
6890,2124
6900,2095
6910,2115
6920,2158
6930,2182
6940,2055
6950,2193
6960,2292
6970,2292
6980,2354
6990,2274
7000,2252
7010,2334
7020,2253
7030,2292
7040,2435
7050,2418
7060,2288
7070,2188
7080,2163
7090,2162
7100,2223
7110,2312
7120,2346
7130,2343
7140,2284
7150,2249
7160,2325
7170,2327
7180,2272
7190,2324
7200,2253
7210,2200
7220,2207
7230,2183
7240,2197
7250,2400
7260,2277
7270,2331
7280,2307
7290,2374
7300,2378
7310,2335
7320,2387
7330,2351
7340,2347
7350,2345
7360,2356
7370,2345
7380,2372
7390,2325
7400,2342
7410,2333
7420,2376
7430,2295
7440,2249
7450,2257
7460,2232
7470,2432
7480,2370
7490,2297
7500,2354
7510,2359
7520,2339
7530,2353
7540,2467
7550,2484
7560,2569
7570,2548
7580,2485
7590,2463
7600,2547
7610,2452
7620,2459
7630,2391
7640,2472
7650,2440
7660,2353
7670,2478
7680,2340
7690,2534
7700,2603
7710,2531
7720,2460
7730,2401
7740,2459
7750,2450
7760,2312
7770,2324
7780,2302
7790,2292
7800,2433
7810,2300
7820,2396
7830,2777
7840,2414
7850,2549
7860,2601
7870,2582
7880,2588
7890,2554
7900,2497
7910,2525
7920,2569
7930,2436
7940,2470
7950,2378
7960,2466
7970,2557
7980,2586
7990,2603
8000,2589
8010,2595
8020,2605
8030,2863
8040,3026
8050,2942
8060,2818
8070,2982
8080,2874
8090,2718
8100,2611
8110,2598
8120,2560
8130,2561
8140,2658
8150,2598
8160,2622
8170,2622
8180,2757
8190,2635
8200,2738
8210,2891
8220,2984
8230,2714
8240,2823
8250,2851
8260,3036
8270,3017
8280,3016
8290,3021
8300,3003
8310,2955
8320,3077
8330,3027
8340,3030
8350,3069
8360,3090
8370,3056
8380,2951
8390,2888
8400,2796
8410,2822
8420,2933
8430,2715
8440,2950
8450,2824
8460,2835
8470,3075
8480,2981
8490,2839
8500,3102
8510,3056
8520,2989
8530,2947
8540,2804
8550,2785
8560,2740
8570,2848
8580,2646
8590,2710
8600,3106
8610,3078
8620,3187
8630,2972
8640,3151
8650,3043
8660,2930
8670,2910
8680,2830
8690,2760
8700,2710
8710,2754
8720,2827
8730,2803
8740,2690
8750,2737
8760,2844
8770,2970
8780,2939
8790,3072
8800,2956
8810,2907
8820,2867
8830,2959
8840,3097
8850,2942
8860,2788
8870,2897
8880,2777
8890,3000
8900,3134
8910,2965
8920,3022
8930,3166
8940,3245
8950,3301
8960,3270
8970,3278
8980,3112
8990,3238
9000,2984
9010,3056
9020,3020
9030,2978
9040,2968
9050,2914
9060,2891
9070,2912
9080,2966
9090,3145
9100,2996
9110,3072
9120,3133
9130,3246
9140,3171
9150,3206
9160,3273
9170,3278
9180,3191
9190,3293
9200,3256
9210,3239
9220,3068
9230,3394
9240,3325
9250,3354
9260,3365
9270,3443
9280,3263
9290,3244
9300,3147
9310,2958
9320,3262
9330,3092
9340,3049
9350,3113
9360,3035
9370,3135
9380,3023
9390,3172
9400,3231
9410,3474
9420,3474
9430,3299
9440,3490
9450,3199
9460,3115
9470,3135
9480,3307
9490,3432
9500,3246
9510,3458
9520,3460
9530,3686
9540,3640
9550,3499
9560,3541
9570,3357
9580,3417
9590,3361
9600,3225
9610,3179
9620,3436
9630,3209
9640,3611
9650,3640
9660,3579
9670,3329
9680,3660
9690,3419
9700,3409
9710,3253
9720,3258
9730,3204
9740,3213
9750,3268
9760,3307
9770,3511
9780,3538
9790,3546
9800,3724
9810,3722
9820,3535
9830,3496
9840,3403
9850,3378
9860,3230
9870,3314
9880,3307
9890,3290
9900,3307
9910,3582
9920,3647
9930,3753
9940,3676
9950,3624
9960,3601
9970,3546
9980,3374
9990,3269
10000,3430
10010,3587
10020,3564
10030,3445
10040,3846
10050,3771
10060,3624
10070,3848
10080,3762
10090,3591
10100,3443
10110,3348
10120,3295
10130,3387
10140,3449
10150,3403
10160,3357
10170,3608
10180,3678
10190,3788
10200,3878
10210,3877
10220,3574
10230,3605
10240,3653
10250,3540
10260,3699
10270,3614
10280,3220
10290,3507
10300,3794
10310,3570
10320,3547
10330,3810
10340,3490
10350,3483
10360,3565
10370,3407
10380,3400
10390,3394
10400,3432
10410,3652
10420,3503
10430,3633
10440,3588
10450,3785
10460,3628
10470,3673
10480,3673
10490,3743
10500,3858
10510,3745
10520,3823
10530,3894
10540,4005
10550,4071
10560,4013
10570,3974
10580,3959
10590,3894
10600,3676
10610,3550
10620,3425
10630,3419
10640,3452
10650,3418
10660,4051
10670,3928
10680,3658
10690,3635
10700,3863
10710,3850
10720,3862
10730,3487
10740,3568
10750,3437
10760,3430
10770,3419
10780,3517
10790,3608
10800,3727
10810,3689
10820,3763
10830,3774
10840,4102
10850,3794
10860,3750
10870,3505
10880,3430
10890,3764
10900,3630
10910,3620
10920,3596
10930,3573
10940,3726
10950,4203
10960,4160
10970,4191
10980,4096
10990,4086
11000,4103
11010,4097
11020,4129
11030,4135
11040,4080
11050,4113
11060,4157
11070,4123
11080,4101
11090,3546
11100,3645
11110,3678
11120,3831
11130,4064
11140,3952
11150,4004
11160,4148
11170,4176
11180,4052
11190,3972
11200,3819
11210,3735
11220,3821
11230,3779
11240,3708
11250,3910
11260,4137
11270,4176
11280,4199
11290,4318
11300,4247
11310,4035
11320,3837
11330,3879
11340,3750
11350,3734
11360,3718
11370,4086
11380,4390
11390,3976
11400,4351
11410,4121
11420,3940
11430,3792
11440,3864
11450,4006
11460,4098
11470,4220
11480,4348
11490,4450
11500,4354
11510,4472
11520,4214
11530,4241
11540,4169
11550,4109
11560,4213
11570,4304
11580,4378
11590,4300
11600,4408
11610,4101
11620,3932
11630,3909
11640,4170
11650,4149
11660,4145
